Date,Average_Return_High,Count_High,Average_Return_Low,Count_Low,ESG_Factor
2002-01-31,0.10008049369466043,1,-0.017339313295662073,1,-0.1174198069903225
2002-02-28,0.03274919335882779,3,-0.018284421041312632,3,-0.051033614400140426
2002-03-31,0.04731453298401633,4,0.03103182760043255,4,-0.016282705383583784
2002-04-30,-0.04278691165880555,5,-0.09120144318554294,5,-0.04841453152673739
2002-05-31,-0.021875878656434384,7,-0.04030170785568559,7,-0.018425829199251207
2002-06-30,-0.07389615624778681,9,-0.15483854945388575,9,-0.08094239320609894
2002-07-31,-0.08946752004016435,10,-0.15403337452287763,10,-0.06456585448271328
2002-08-31,0.034916902248333395,11,-0.032029677325831465,11,-0.06694657957416486
2002-09-30,-0.062458312652754776,15,-0.09187352781684052,15,-0.029415215164085746
2002-10-31,0.09675126633602688,16,0.13899192911385946,16,0.04224066277783259
2002-11-30,0.09847051354057655,17,0.1335093418940927,17,0.03503882835351614
2002-12-31,-0.06169927419088109,65,-0.03922284165586028,65,0.02247643253502081
2003-01-31,-0.013858965713945421,65,-0.028762638179201806,65,-0.014903672465256385
2003-02-28,-0.0033717433800086113,65,-0.0034244943072385507,65,-5.2750927229939376e-05
2003-03-31,-0.0006412589745732455,65,0.015968660829304204,65,0.01660991980387745
2003-04-30,0.07692090462949928,65,0.08391170053369333,65,0.006990795904194047
2003-05-31,0.07873350155555385,65,0.07634596364258188,65,-0.002387537912971971
2003-06-30,0.014488024866055651,65,0.006228425635469685,65,-0.008259599230585966
2003-07-31,0.022390878194063258,65,0.016945589775977096,65,-0.005445288418086162
2003-08-31,0.03421056850942367,65,0.03902983061124375,65,0.004819262101820085
2003-09-30,-0.006635602906773275,65,-0.013604761414291731,65,-0.006969158507518456
2003-10-31,0.06304466609491201,65,0.07735481381166817,65,0.014310147716756164
2003-11-30,0.010987100190547487,65,0.015435946915073735,65,0.004448846724526247
2003-12-31,0.0550915588970355,65,0.04545669923105927,65,-0.009634859665976228
2004-01-31,0.01137906155442339,68,0.013792831438307961,68,0.002413769883884571
2004-02-29,0.02235028050301995,68,0.04290813587740229,68,0.02055785537438234
2004-03-31,-0.008651072468954349,68,0.003830959692459735,68,0.012482032161414084
2004-04-30,-0.013151868644203939,68,-0.028614156622928,68,-0.01546228797872406
2004-05-31,0.013134487483859085,68,0.0254602337474536,68,0.012325746263594516
2004-06-30,0.022337088279969577,69,0.040384751356721295,69,0.018047663076751718
2004-07-31,-0.033716752580250274,69,-0.01570711515758378,69,0.018009637422666494
2004-08-31,0.010894524674231992,70,0.010684339076492815,70,-0.00021018559773917748
2004-09-30,0.012952179867668483,70,0.03620772819835143,70,0.023255548330682944
2004-10-31,0.02168997369675828,71,0.018317377664704558,71,-0.003372596032053723
2004-11-30,0.040013413195894264,71,0.063575190966253,71,0.023561777770358734
2004-12-31,0.04055415375462533,92,0.049287436556692696,92,0.008733282802067366
2005-01-31,-0.02744344987205058,93,-0.022477281914302205,93,0.004966167957748374
2005-02-28,0.023565246786482863,94,0.034502919979450604,94,0.010937673192967741
2005-03-31,-0.01691393050298242,94,-0.019558866016428263,94,-0.0026449355134458424
2005-04-30,-0.021471448563409903,94,-0.026750685845173875,94,-0.005279237281763972
2005-05-31,0.04704729157540431,95,0.0520485646095831,95,0.005001273034178785
2005-06-30,0.0014358363392743855,95,0.024995759330863093,95,0.023559922991588707
2005-07-31,0.046251349933160414,96,0.06062130367568673,96,0.014369953742526316
2005-08-31,-0.01223008375662857,96,-0.01262376398761459,96,-0.00039368023098602066
2005-09-30,0.010531124229454672,97,0.015740702975874352,97,0.005209578746419681
2005-10-31,-0.006780812523692058,97,-0.022983363392010178,97,-0.01620255086831812
2005-11-30,0.04474356293572803,97,0.04601451588549349,97,0.0012709529497654595
2005-12-31,0.00861852019182648,105,0.0020996395535472843,105,-0.006518880638279195
2006-01-31,0.02677915828069143,105,0.07578912713689963,105,0.0490099688562082
2006-02-28,0.0007132381485301802,105,-0.004868593810571543,105,-0.005581831959101723
2006-03-31,0.011037134996245035,105,0.033758535745449125,105,0.02272140074920409
2006-04-30,0.01927247741281906,105,0.00964523272999834,105,-0.00962724468282072
2006-05-31,-0.024321370642456017,105,-0.05012046394279113,105,-0.02579909330033511
2006-06-30,0.0007210216685100313,105,0.003834327095585091,105,0.0031133054270750596
2006-07-31,-0.001341559913608207,105,-0.014914111635846012,105,-0.013572551722237805
2006-08-31,0.03208683775519669,105,0.03634722363366333,105,0.004260385878466638
2006-09-30,0.02920124527077179,105,0.012189686080752436,105,-0.017011559190019357
2006-10-31,0.03058723686198186,105,0.04737505157101088,105,0.016787814709029018
2006-11-30,0.014257973408800221,105,0.052882102296758444,105,0.03862412888795822
2006-12-31,0.007965630634296979,107,-0.0009115127116464106,107,-0.008877143345943389
2007-01-31,0.01946388157912302,107,0.04888524015875271,107,0.02942135857962969
2007-02-28,-0.014446292489338009,107,-0.0017824537495700202,107,0.012663838739767988
2007-03-31,0.01285978010127988,107,0.008345358018476906,107,-0.004514422082802973
2007-04-30,0.04084012332585269,107,0.047712179927285756,107,0.0068720566014330645
2007-05-31,0.03288385360102299,107,0.03525765524487181,107,0.0023738016438488163
2007-06-30,-0.014311866760359775,108,-0.022743371480714675,108,-0.0084315047203549
2007-07-31,-0.032453697704192194,108,-0.04020066579680554,108,-0.0077469680926133475
2007-08-31,0.009435849780637433,108,0.002441840586835158,108,-0.006994009193802275
2007-09-30,0.035145152827885724,109,0.03427269091269419,109,-0.0008724619151915317
