Date,Average_Return_High,Count_High,Average_Return_Low,Count_Low,ESG_Factor
2009-12-31,0.038894158225957896,154,0.05790299251606094,154,0.01900883429010304
2010-01-31,-0.03341184620006081,156,-0.030241236647926217,156,0.003170609552134593
2010-02-28,0.04340986772693015,156,0.054302058309165534,156,0.010892190582235381
2010-03-31,0.0690968962199368,156,0.07067585347270533,156,0.0015789572527685342
2010-04-30,0.02575038047084992,156,0.045017040885327576,156,0.019266660414477655
2010-05-31,-0.07296266710072617,156,-0.07838040238919332,156,-0.005417735288467146
2010-06-30,-0.05794373715095545,156,-0.06897114896919802,156,-0.011027411818242572
2010-07-31,0.07051199591065227,156,0.07123135570752877,156,0.0007193597968764981
2010-08-31,-0.04741596725955752,156,-0.048632734410326846,156,-0.0012167671507693281
2010-09-30,0.09379669736308949,156,0.11599982798340282,156,0.02220313062031333
2010-10-31,0.03377142326894561,156,0.041714171864906766,156,0.007942748595961155
2010-11-30,0.0067459245530764305,156,0.02437733632910493,156,0.017631411776028498
2010-12-31,0.07123032597621509,162,0.07297713165327839,162,0.0017468056770632984
2011-01-31,0.015047511752623966,163,0.02505815268595094,163,0.010010640933326972
2011-02-28,0.027398272731311495,163,0.052795692982252215,163,0.02539742025094072
2011-03-31,0.006535444414239375,163,0.02902778948326387,163,0.0224923450690245
2011-04-30,0.028770037713915685,163,0.036811260595957934,163,0.008041222882042249
2011-05-31,-0.006770618173190876,163,-0.005637619940615798,163,0.0011329982325750778
2011-06-30,-0.01923051750006663,163,-0.017892908343984486,163,0.0013376091560821438
2011-07-31,-0.04162760808492189,163,-0.029493574995128564,163,0.012134033089793328
2011-08-31,-0.058972635650714755,163,-0.05878542761621475,163,0.00018720803450000822
2011-09-30,-0.07478616992437488,163,-0.11659709294972072,163,-0.041810923025345836
2011-10-31,0.11891021500018104,163,0.128959456112345,163,0.010049241112163959
2011-11-30,-0.007102692441370941,163,-0.004796193559537149,163,0.0023064988818337923
2011-12-31,0.005971307484963868,166,0.00605236245428476,166,8.105496932089232e-05
2012-01-31,0.056125902824296185,166,0.08180788358875409,166,0.0256819807644579
2012-02-29,0.0350978347131681,166,0.05069675696604899,166,0.015598922252880891
2012-03-31,0.03078003571110343,166,0.018970372242500845,166,-0.011809663468602585
2012-04-30,-0.012065775366289121,166,-0.0033546149145655376,166,0.008711160451723585
2012-05-31,-0.06161286695662318,166,-0.05884843411102974,166,0.0027644328455934397
2012-06-30,0.03698718550357272,166,0.025300782958328057,166,-0.01168640254524466
2012-07-31,-0.0013636159266525102,166,-0.0016687124553690542,166,-0.000305096528716544
2012-08-31,0.027300582007684402,166,0.03277322151363954,166,0.005472639505955137
2012-09-30,0.0263812458081965,166,0.03524080798987997,166,0.008859562181683468
2012-10-31,-0.006512923760699894,166,-0.010014181309606162,166,-0.0035012575489062683
2012-11-30,0.01364543388515703,166,0.030287118755879312,166,0.016641684870722283
2012-12-31,0.022062422727991124,167,0.028708646121988587,167,0.006646223393997463
2013-01-31,0.07014799922456472,167,0.07602069271823528,167,0.005872693493670561
2013-02-28,0.013145148538346712,167,0.017094989483068722,167,0.00394984094472201
2013-03-31,0.04710979734660448,167,0.04739535331107924,167,0.00028555596447475684
2013-04-30,0.015229322772917334,167,0.010052661487030603,167,-0.005176661285886732
2013-05-31,0.016766739328066004,167,0.032813981710797614,167,0.01604724238273161
2013-06-30,-0.012949440720255782,167,-0.0100923998564912,167,0.0028570408637645824
2013-07-31,0.050667235329774046,167,0.06310721139105999,167,0.01243997606128594
2013-08-31,-0.03473294399561281,167,-0.02604521899479977,167,0.008687725000813041
2013-09-30,0.03325824662891601,167,0.05909844863743122,167,0.02584020200851521
2013-10-31,0.05014509155564208,167,0.03369237740276456,167,-0.016452714152877516
2013-11-30,0.022986469355524647,167,0.022028119733760378,167,-0.0009583496217642692
2013-12-31,0.020160462038878724,169,0.03247933260046759,169,0.012318870561588868
2014-01-31,-0.031649760842752415,169,-0.0179987167400847,169,0.013651044102667716
2014-02-28,0.047181898782104124,169,0.06392659084053215,169,0.016744692058428025
2014-03-31,0.01886937519163658,169,-0.008434666336616117,169,-0.027304041528252696
2014-04-30,0.003399025848027424,169,-0.013924125550355614,169,-0.017323151398383037
2014-05-31,0.023252346795822932,169,0.024647993077206155,169,0.0013956462813832227
2014-06-30,0.022222972230820353,169,0.043648470132913286,169,0.021425497902092933
2014-07-31,-0.025906076739297353,169,-0.03397517546282529,169,-0.008069098723527936
2014-08-31,0.04029696708641547,170,0.052632898139568216,170,0.012335931053152747
2014-09-30,-0.02347260913351526,170,-0.04059950096672369,170,-0.01712689183320843
2014-10-31,0.025407865064487143,170,0.033775433597656,170,0.008367568533168859
2014-11-30,0.030921944811859576,170,0.01887915267738901,170,-0.012042792134470567
2014-12-31,0.004189112660176341,174,-0.0027927939238448934,174,-0.006981906584021234
2015-01-31,-0.020977290748281727,175,-0.02090522617391562,175,7.206457436610691e-05
2015-02-28,0.04801652800403322,175,0.06677651023552503,175,0.018759982231491806
2015-03-31,-0.011145733035257864,176,0.0019286794517314383,176,0.013074412486989302
2015-04-30,0.00153441121381135,176,0.004516778632671727,176,0.0029823674188603766
2015-05-31,0.01231492398433334,176,0.022965707383524967,176,0.010650783399191626
2015-06-30,-0.023797672319861685,178,-0.0064845057424271066,178,0.017313166577434577
2015-07-31,0.007622757501262523,179,0.0034772005886747645,179,-0.004145556912587759
2015-08-31,-0.04965310349080574,180,-0.044091733777574915,180,0.005561369713230825
2015-09-30,-0.02684402190949532,183,-0.049818188709131045,183,-0.022974166799635726
