location,name,freq,weighting,direction,n_stocks,n_stocks_min,date,ret
usa,ret_9_1,monthly,ew,1,337,139,1926-10-31,0.0205813685268113
usa,ret_9_1,monthly,ew,1,351,144,1926-11-30,0.0222443976976449
usa,ret_9_1,monthly,ew,1,357,146,1926-12-31,-0.00588673833641823
usa,ret_9_1,monthly,ew,1,357,147,1927-01-31,0.0140736418392517
usa,ret_9_1,monthly,ew,1,361,143,1927-02-28,0.0119599571330853
usa,ret_9_1,monthly,ew,1,360,150,1927-03-31,0.0416287746810476
usa,ret_9_1,monthly,ew,1,365,155,1927-04-30,0.0246269491951613
usa,ret_9_1,monthly,ew,1,359,150,1927-05-31,0.047422019769362
usa,ret_9_1,monthly,ew,1,361,151,1927-06-30,0.0174090092873888
usa,ret_9_1,monthly,ew,1,367,153,1927-07-31,0.00959562246223505
usa,ret_9_1,monthly,ew,1,370,157,1927-08-31,0.00548943110745193
usa,ret_9_1,monthly,ew,1,366,155,1927-09-30,0.0349281479372695
usa,ret_9_1,monthly,ew,1,374,158,1927-10-31,0.00937363224395804
usa,ret_9_1,monthly,ew,1,378,154,1927-11-30,-0.0283925954368912
usa,ret_9_1,monthly,ew,1,371,156,1927-12-31,0.0142356177271586
usa,ret_9_1,monthly,ew,1,371,162,1928-01-31,-0.00240820019082344
usa,ret_9_1,monthly,ew,1,378,161,1928-02-29,-0.0184949089501503
usa,ret_9_1,monthly,ew,1,380,177,1928-03-31,0.023197298697768
usa,ret_9_1,monthly,ew,1,384,176,1928-04-30,-0.0335042376999126
usa,ret_9_1,monthly,ew,1,390,178,1928-05-31,0.0221052110915995
usa,ret_9_1,monthly,ew,1,386,184,1928-06-30,-0.00351334832640443
usa,ret_9_1,monthly,ew,1,389,187,1928-07-31,0.0115046253824191
usa,ret_9_1,monthly,ew,1,380,190,1928-08-31,0.0415960474710526
usa,ret_9_1,monthly,ew,1,391,188,1928-09-30,0.0372908887027932
usa,ret_9_1,monthly,ew,1,392,181,1928-10-31,0.030392378311199
usa,ret_9_1,monthly,ew,1,390,177,1928-11-30,0.0356740891857166
usa,ret_9_1,monthly,ew,1,388,177,1928-12-31,0.0166923887361903
usa,ret_9_1,monthly,ew,1,394,181,1929-01-31,0.0117584801250123
usa,ret_9_1,monthly,ew,1,385,170,1929-02-28,0.0328638078486867
usa,ret_9_1,monthly,ew,1,399,164,1929-03-31,0.00330465495634925
usa,ret_9_1,monthly,ew,1,397,171,1929-04-30,0.0302750458846375
usa,ret_9_1,monthly,ew,1,395,165,1929-05-31,0.00114053787036891
usa,ret_9_1,monthly,ew,1,406,175,1929-06-30,0.0667002448331602
usa,ret_9_1,monthly,ew,1,413,170,1929-07-31,0.0231365032916969
usa,ret_9_1,monthly,ew,1,415,167,1929-08-31,0.0598744037274846
usa,ret_9_1,monthly,ew,1,418,165,1929-09-30,0.0369783615898287
usa,ret_9_1,monthly,ew,1,417,167,1929-10-31,0.0143848280311856
usa,ret_9_1,monthly,ew,1,421,165,1929-11-30,0.00863913130645123
usa,ret_9_1,monthly,ew,1,413,164,1929-12-31,0.0807681461410764
usa,ret_9_1,monthly,ew,1,441,174,1930-01-31,-0.123337158032985
usa,ret_9_1,monthly,ew,1,449,176,1930-02-28,-0.0192877153983079
usa,ret_9_1,monthly,ew,1,458,185,1930-03-31,-0.0766796689647659
usa,ret_9_1,monthly,ew,1,454,188,1930-04-30,0.0236001144199208
usa,ret_9_1,monthly,ew,1,464,202,1930-05-31,0.0318479829938667
usa,ret_9_1,monthly,ew,1,464,199,1930-06-30,0.0722036997912771
usa,ret_9_1,monthly,ew,1,446,187,1930-07-31,-0.00942413097788826
usa,ret_9_1,monthly,ew,1,462,200,1930-08-31,0.0381065822524008
usa,ret_9_1,monthly,ew,1,467,195,1930-09-30,0.0293471639945475
usa,ret_9_1,monthly,ew,1,466,210,1930-10-31,0.030316094761808
usa,ret_9_1,monthly,ew,1,465,192,1930-11-30,-0.00489433030983288
usa,ret_9_1,monthly,ew,1,462,188,1930-12-31,0.111616023326526
usa,ret_9_1,monthly,ew,1,479,190,1931-01-31,-0.171373679189659
usa,ret_9_1,monthly,ew,1,486,192,1931-02-28,-0.143347743993941
usa,ret_9_1,monthly,ew,1,484,196,1931-03-31,0.07003575050518
usa,ret_9_1,monthly,ew,1,485,210,1931-04-30,0.0729067767604156
usa,ret_9_1,monthly,ew,1,475,208,1931-05-31,0.0737882033037543
