Date,Average_Return_High,Count_High,MCap_Total_High,MCap_Average_High,Avg_ESG_Score_High,Average_Return_Low,Count_Low,MCap_Total_Low,MCap_Average_Low,Avg_ESG_Score_Low,ESG_Factor,ESG_Factor_Residual
2012-06-30,0.03698718550357272,166,7074.7209526596735,42.61880091963659,72.10686751297617,0.025300782958328057,166,1161.9721665844734,7.085196137710203,20.269029750664988,-0.01168640254524466,-0.015683875604816554
2012-07-31,-0.0013636159266525102,166,7131.226925715223,42.95919834768207,72.03520832283402,-0.0016687124553690542,166,1157.7833659016858,7.059654670132231,20.305963671987918,-0.000305096528716544,0.011349948124144518
2012-08-31,0.027300582007684402,166,7192.5980248382475,43.32890376408582,72.02009878593307,0.03277322151363954,166,1180.524188568935,7.198318222981312,20.271584479767284,0.005472639505955137,0.002012501944180626
2012-09-30,0.0263812458081965,166,7283.844105903238,43.87857895122433,72.03253568693918,0.03524080798987997,166,1220.8577672779707,7.444254678524212,20.188021887974145,0.008859562181683468,0.008215175232315963
2012-10-31,-0.006512923760699894,166,7113.783657928816,42.85411842125793,71.93933792816442,-0.010014181309606162,166,1202.8936802975513,7.334717562789947,20.183221477727756,-0.0035012575489062683,0.005598135324533762
2012-11-30,0.01364543388515703,166,7084.945364636178,42.68039376286854,71.93066576623926,0.030287118755879312,166,1235.7845154366987,7.535271435589626,20.148895927303812,0.016641684870722283,0.016045140037599964
2012-12-31,0.022062422727991124,167,6941.665775516076,41.56686093123398,71.64285879110501,0.028708646121988587,167,1355.6497321069444,8.216058982466329,20.98821740326307,0.006646223393997463,0.001140227944824131
2013-01-31,0.07014799922456472,167,7271.53479366564,43.5421245129679,71.790589707757,0.07602069271823528,167,1457.6300971002934,8.83412180060784,21.001719083450173,0.005872693493670561,0.004533754621188785
2013-02-28,0.013145148538346712,167,7323.803860299309,43.85511293592401,71.78025863508229,0.017094989483068722,167,1465.0376412189323,8.879016007387468,21.001718030289123,0.00394984094472201,0.00413366532286445
2013-03-31,0.04710979734660448,167,7578.813367536709,45.382115973273706,71.7530749646108,0.04739535331107924,167,1530.579549616141,9.27623969464328,20.937898804151445,0.00028555596447475684,-0.0028979927837354414
2013-04-30,0.015229322772917334,167,7727.449494718026,46.27215266298219,71.75101760688962,0.010052661487030603,167,1554.445862294025,9.420884013903182,20.965128919840048,-0.005176661285886732,0.0056570129717690674
2013-05-31,0.016766739328066004,167,7807.48186284696,46.75138840028119,71.81285028481386,0.032813981710797614,167,1614.1162671245904,9.782522831058122,20.968350760924896,0.01604724238273161,0.004952431775246114
2013-06-30,-0.012949440720255782,167,7522.3213763576405,45.04384057699186,71.82003315822475,-0.0100923998564912,167,1587.7315065138594,9.740684089042082,20.869610251604943,0.0028570408637645824,-0.004631327284297576
2013-07-31,0.050667235329774046,167,7792.660729403205,46.66263909822278,71.85604558474839,0.06310721139105999,167,1710.266566375207,10.365251917425496,20.86473631389841,0.01243997606128594,0.0016539377089020615
2013-08-31,-0.03473294399561281,167,7447.262240894008,44.59438467601203,71.86328883219197,-0.02604521899479977,167,1686.0583860248632,10.21853567287796,20.88082421702462,0.008687725000813041,0.004829346434247362
2013-09-30,0.03325824662891601,167,7567.447338594291,45.31405591972629,71.82237062553253,0.05909844863743122,167,1791.3643285928306,10.856753506623214,20.913935816650216,0.02584020200851521,0.007491931551260267
2013-10-31,0.05014509155564208,167,7844.336283855453,46.972073556020675,71.77975691542939,0.03369237740276456,167,1838.2794507539004,11.14108758032667,20.920550086934345,-0.016452714152877516,-0.004935966333593122
2013-11-30,0.022986469355524647,167,8053.73285846743,48.225945260284014,71.85462842961928,0.022028119733760378,167,1868.0696264737587,11.321634099840962,20.91050320412594,-0.0009583496217642692,-0.007700210327058863
2013-12-31,0.020160462038878724,169,8144.1826438131075,48.19042984504797,71.9260617601331,0.03247933260046759,169,1745.518969300772,10.452209397010611,21.454680995043866,0.012318870561588868,0.013355796604810436
2014-01-31,-0.031649760842752415,169,7828.06897459225,46.319934760900885,72.09552903527344,-0.0179987167400847,169,1693.357724001977,10.139866610790282,21.499662794709998,0.013651044102667716,0.0018891888296047703
2014-02-28,0.047181898782104124,169,8129.197377347419,48.10175962927467,72.20569709448134,0.06392659084053215,169,1807.6366351542993,10.824171467989817,21.61787134776712,0.016744692058428025,0.012626145320515668
2014-03-31,0.01886937519163658,169,8399.946024654646,49.703822631092585,72.2041239620007,-0.008434666336616117,169,1784.9383007406493,10.688253297848199,21.643752955268194,-0.027304041528252696,-0.011480659206664422
2014-04-30,0.003399025848027424,169,8325.675145132709,49.26434997119947,72.25658528274775,-0.013924125550355614,169,1774.9255213067688,10.62829653477107,21.601791823130284,-0.017323151398383037,0.010447350879549084
2014-05-31,0.023252346795822932,169,8545.152329915341,50.563031537960605,72.17440091766063,0.024647993077206155,169,1823.6404628381392,10.920002771485862,21.526309376857913,0.0013956462813832227,0.006936374131493931
2014-06-30,0.022222972230820353,169,8534.141683027394,50.497879781227184,72.22431985014784,0.043648470132913286,169,1859.5608576273285,11.135094955852267,21.51724354827582,0.021425497902092933,0.00017923438508959597
2014-07-31,-0.025906076739297353,169,8385.503734494729,49.61836529286822,72.27285980765224,-0.03397517546282529,169,1830.1344492937933,10.958888917926904,21.38925162516139,-0.008069098723527936,0.013659571999242358
2014-08-31,0.04029696708641547,170,8646.238192128041,50.86022465957672,72.2429434327527,0.052632898139568216,170,1945.6896241661689,11.581485858131957,21.41623167813574,0.012335931053152747,0.007236153429729738
2014-09-30,-0.02347260913351526,170,8684.44164290087,51.08495084059336,72.19192911814181,-0.04059950096672369,170,1757.0672499330196,10.458733630553688,21.339449518227173,-0.01712689183320843,-0.0006548487519632239
2014-10-31,0.025407865064487143,170,8818.01620979134,51.87068358700788,72.16579922789809,0.033775433597656,170,1815.2362392013488,10.804977614293744,21.372778577605644,0.008367568533168859,-0.010503723190029273
2014-11-30,0.030921944811859576,170,9009.553020826259,52.99737071074271,72.16903140328428,0.01887915267738901,170,1912.9960608664087,11.386881314681004,21.400782496922673,-0.012042792134470567,-0.002127106596744078
2014-12-31,0.004189112660176341,174,9226.333361438252,53.024904376081906,71.66009192053403,-0.0027927939238448934,174,1929.2085575785197,11.281921389348069,22.223274231281042,-0.006981906584021234,-0.01895060822732287
2015-01-31,-0.020977290748281727,175,8858.601145719962,50.620577975542645,71.82190517020193,-0.02090522617391562,175,1894.8701846903393,10.953006847921039,22.212992450269045,7.206457436610691e-05,-0.0007336019070800209
2015-02-28,0.04801652800403322,175,9257.941215041372,52.902521228807835,71.7665362820609,0.06677651023552503,175,1996.4706982158084,11.540293053270569,22.196618135126744,0.018759982231491806,0.012174227136303763
2015-03-31,-0.011145733035257864,176,9092.937689270935,51.66441868903941,71.70776308678897,0.0019286794517314383,176,2014.7516988139482,11.5790327518043,22.280586506046358,0.013074412486989302,-0.0032112074606145524
2015-04-30,0.00153441121381135,176,9310.584272792628,52.90104700450357,71.61781077857296,0.004516778632671727,176,2007.0242117288467,11.534621906487626,22.324069883755474,0.0029823674188603766,0.021298330505116987
